method,sharpe,dataset,k,alpha
Ridge,1.1016653687234854,large_char,44.0,1000.0
Lasso,,large_char,44.0,0.1
Ridge,1.1005545738929543,large_char,45.0,1000.0
Lasso,,large_char,45.0,0.1
Ridge,1.0992091549607796,large_char,46.0,1000.0
Lasso,,large_char,46.0,0.1
Ridge,1.052603402490177,large_char,47.0,1000.0
Lasso,,large_char,47.0,0.1
Ridge,1.0437976162221487,large_char,48.0,1000.0
Lasso,,large_char,48.0,0.1
Ridge,1.0380130267549397,large_char,49.0,1000.0
Lasso,,large_char,49.0,0.1
Ridge,1.0392860247610225,large_char,50.0,1000.0
Lasso,,large_char,50.0,0.1
Ridge (alpha=100.0),2.9047640314799894,small_char,,
Lasso (alpha=0.1),3.0020460477847983,small_char,,
Ridge,-4.042986723650689,small_char,1.0,1000.0
Lasso,,small_char,1.0,0.1
Ridge,-3.0702951493761987,small_char,2.0,1000.0
Lasso,,small_char,2.0,0.1
Ridge,-3.85387074809251,small_char,3.0,1000.0
Lasso,,small_char,3.0,0.1
Ridge,2.561381272167011,small_char,4.0,1000.0
Lasso,,small_char,4.0,0.1
Ridge,-3.2045604371180874,small_char,5.0,1000.0
Lasso,,small_char,5.0,0.1
Ridge,-0.1160948318911035,small_char,6.0,1000.0
Lasso,,small_char,6.0,0.1
Ridge,-2.684713112492589,small_char,7.0,1000.0
Lasso,,small_char,7.0,0.1
Ridge,-2.210387281643541,small_char,8.0,1000.0
Lasso,,small_char,8.0,0.1
Ridge,2.11803654454063,small_char,9.0,1000.0
Lasso,,small_char,9.0,0.1
Ridge,-1.428707231147409,small_char,10.0,1000.0
Lasso,,small_char,10.0,0.1
Ridge,1.7345408485888263,small_char,11.0,1000.0
Lasso,,small_char,11.0,0.1
Ridge,1.719545303246675,small_char,12.0,1000.0
Lasso,,small_char,12.0,0.1
Ridge,1.167022664947371,small_char,13.0,1000.0
Lasso,,small_char,13.0,0.1
Ridge,2.3322033931600257,small_char,14.0,1000.0
Lasso,,small_char,14.0,0.1
Ridge,-1.1269593632045622,small_char,15.0,1000.0
Lasso,,small_char,15.0,0.1
Ridge,-2.0569035928808375,small_char,16.0,1000.0
Lasso,,small_char,16.0,0.1
Ridge,-0.3368796830322278,small_char,17.0,1000.0
Lasso,,small_char,17.0,0.1
Ridge,-2.658567010111108,small_char,18.0,1000.0
Lasso,,small_char,18.0,0.1
Ridge,-0.3021444739912032,small_char,19.0,1000.0
Lasso,,small_char,19.0,0.1
Ridge,-1.008478744169189,small_char,20.0,1000.0
Lasso,,small_char,20.0,0.1
Ridge,-1.1812556841937796,small_char,21.0,1000.0
Lasso,,small_char,21.0,0.1
Ridge,-1.369845775180193,small_char,22.0,1000.0
Lasso,,small_char,22.0,0.1
Ridge,0.5720603503062268,small_char,23.0,1000.0
Lasso,,small_char,23.0,0.1
Ridge,1.959083533277231,small_char,24.0,1000.0
Lasso,,small_char,24.0,0.1
Ridge,1.0708893667634376,small_char,25.0,1000.0
Lasso,,small_char,25.0,0.1
Ridge,0.877446888667109,small_char,26.0,1000.0
Lasso,,small_char,26.0,0.1
Ridge,-2.7104237935227604,small_char,27.0,1000.0
Lasso,,small_char,27.0,0.1
Ridge,-0.0880782972896337,small_char,28.0,1000.0
Lasso,,small_char,28.0,0.1
Ridge,1.1390321129612522,small_char,29.0,1000.0
Lasso,,small_char,29.0,0.1
Ridge,0.6110537097029739,small_char,30.0,1000.0
Lasso,,small_char,30.0,0.1
Ridge,-2.916593497255399,small_char,31.0,1000.0
Lasso,,small_char,31.0,0.1
Ridge,-1.3442574876041815,small_char,32.0,1000.0
Lasso,,small_char,32.0,0.1
Ridge,-1.106912391575185,small_char,33.0,1000.0
Lasso,,small_char,33.0,0.1
Ridge,1.3420454385861815,small_char,34.0,1000.0
Lasso,,small_char,34.0,0.1
Ridge,-1.5083115321676517,small_char,35.0,1000.0
Lasso,,small_char,35.0,0.1
Ridge,-2.561713016194111,small_char,36.0,1000.0
Lasso,,small_char,36.0,0.1
Ridge,0.5802847202120255,small_char,37.0,1000.0
Lasso,,small_char,37.0,0.1
Ridge,3.649723124078732,small_char,38.0,1000.0
Lasso,,small_char,38.0,0.1
Ridge,0.3935997505198463,small_char,39.0,1000.0
Lasso,,small_char,39.0,0.1
Ridge,2.325086284927881,small_char,40.0,1000.0
Lasso,,small_char,40.0,0.1
Ridge,-0.5004454718707733,small_char,41.0,1000.0
Lasso,,small_char,41.0,0.1
Ridge,-5.127941308982983,small_char,42.0,1000.0
Lasso,,small_char,42.0,0.1
Ridge,0.7505612140253649,small_char,43.0,1000.0
Lasso,,small_char,43.0,0.1
Ridge,1.9449963108319288,small_char,44.0,1000.0
Lasso,,small_char,44.0,0.1
Ridge,-0.5032008942061709,small_char,45.0,1000.0
Lasso,,small_char,45.0,0.1
Ridge,0.431302225645983,small_char,46.0,1000.0
Lasso,,small_char,46.0,0.1
Ridge,1.9055007449414068,small_char,47.0,1000.0
Lasso,,small_char,47.0,0.1
Ridge,-0.4819036116496883,small_char,48.0,1000.0
Lasso,,small_char,48.0,0.1
Ridge,-0.6832602474971974,small_char,49.0,1000.0
Lasso,,small_char,49.0,0.1
Ridge,-0.9155335750167946,small_char,50.0,1000.0
Lasso,,small_char,50.0,0.1
