rung,model_name,window,pair,mae,rmse,dir_acc,oos_r2,n
Rung 4 – +Keywords,rung4_kw,statement,ALL (pooled),0.0009513815909875062,0.0012709602351091216,0.48717948717948717,-0.6774210729058798,156.0
Rung 4 – +LLM Rubric,rung4_llm,statement,USDEUR,0.0010139002009113519,0.0013308044289482494,0.48717948717948717,-0.9258127210402849,39.0
Rung 4 – +LLM Rubric,rung4_llm,statement,USDJPY,0.00114864578148925,0.0015747445492708793,0.6153846153846154,-0.5786176362817459,39.0
Rung 4 – +LLM Rubric,rung4_llm,statement,USDGBP,0.0010817613866096595,0.0013948973182422361,0.4358974358974359,-1.2739617822171634,39.0
Rung 4 – +LLM Rubric,rung4_llm,statement,USDCAD,0.0007353163650793563,0.0010325521962472547,0.5641025641025641,-1.1079325429046372,39.0
Rung 4 – +LLM Rubric,rung4_llm,statement,ALL (pooled),0.0010314251173449342,0.0013639931670119587,0.4551282051282051,-0.9319796976480206,156.0
Rung 4 – +Embeddings,rung4_emb,statement,USDEUR,,,,,
Rung 4 – +Embeddings,rung4_emb,statement,USDJPY,,,,,
Rung 4 – +Embeddings,rung4_emb,statement,USDGBP,,,,,
Rung 4 – +Embeddings,rung4_emb,statement,USDCAD,,,,,
Rung 4 – +Embeddings,rung4_emb,statement,ALL (pooled),0.0013739561584314081,0.00171885196795846,0.40384615384615385,-2.067998340099839,156.0
Rung 1 – Predict Zero,predict_zero,digestion,USDEUR,0.003766823179719208,0.004678740782481665,0.0,0.0,41.0
Rung 1 – Predict Zero,predict_zero,digestion,USDJPY,0.0036019726239440463,0.00461702986420641,0.0,0.0,41.0
Rung 1 – Predict Zero,predict_zero,digestion,USDGBP,0.0037726406581934948,0.0049738067231857525,0.0,0.0,41.0
Rung 1 – Predict Zero,predict_zero,digestion,USDCAD,0.003104715825100357,0.003849686366105727,0.0,0.0,41.0
Rung 1 – Predict Zero,predict_zero,digestion,ALL (pooled),0.003561538071739276,0.004548802548847859,0.0,0.0,164.0
Rung 1 – Hist Mean,hist_mean,digestion,USDEUR,0.0037230965961762732,0.0046708635487483635,0.5853658536585366,0.00336441062022097,41.0
Rung 1 – Hist Mean,hist_mean,digestion,USDJPY,0.003514531248991931,0.004593048622297667,0.6097560975609756,0.010361189906620716,41.0
Rung 1 – Hist Mean,hist_mean,digestion,USDGBP,0.00372700977000375,0.004938787094508591,0.5609756097560976,0.014032047219131538,41.0
Rung 1 – Hist Mean,hist_mean,digestion,USDCAD,0.003116027239291442,0.0038443470504727017,0.4878048780487805,0.002771972804257339,41.0
Rung 1 – Hist Mean,hist_mean,digestion,ALL (pooled),0.0035247988570314684,0.004532624242325577,0.5609756097560976,0.007100566095564198,164.0
Rung 2 – OLS Theory,ols_theory,digestion,USDEUR,0.003931368962524962,0.005301929107045804,0.55,-0.25283272242067834,40.0
Rung 2 – OLS Theory,ols_theory,digestion,USDJPY,0.0037832386717151214,0.005090848747853738,0.6,-0.18657747907023148,40.0
Rung 2 – OLS Theory,ols_theory,digestion,USDGBP,0.0042645697766463524,0.005351734897368142,0.55,-0.13203437260078266,40.0
Rung 2 – OLS Theory,ols_theory,digestion,USDCAD,0.003227990643164177,0.004104487650813579,0.625,-0.11307108812482225,40.0
